title,typeOfResource,genre,placeTerm,publisher,dateIssued,languageTerm,form(marccategory),form(marcsmd),extent
"          Maps of De Soto, Festus, and Jefferson County, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Springdale, Ohio","Merchant Maps, Division of Mass Marketing Inc.",c1980 1980,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 69 x 46 cm. or smaller, sheet 89 x 59 cm., folded to 23 x 10 cm."
"          Maps of Dunklin & Pemiscot counties with Kennett, Malden, Caruthersville and Senath, Missouri       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1982 1982,          eng       ,map,map,"6 maps on 1 sheet : both sides ; 42 x 56 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Lewis, Marion, & Ralls counties with Canton, Hannibal, & Palmyra, Missouri          happy to help you find your way around!                  Maps of Lewis, Marion, and counties with Canton, Hannibal, and Palmyra, Missouri       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1984 1984,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 75 x 54 cm. or smaller, sheet 89 x 59 cm., folded to 23 x 10 cm."
"          Maps of Phelps County with Rolla and St. James, Missouri, including the University of Missouri-Rolla          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 56 x 49 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Phelps County with Rolla and St. James, Missouri, including the University of Missouri-Rolla          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 56 x 49 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Randolph and Audrain counties with Moberly and Mexico, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1983 1983,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 56 x 43 cm. or smaller, sheet 89 x 59 cm., folded to 10 x 23 cm."
"          St. Joseph, Buchanan County, & Misssouri Western State College campus          great places to live, work, study, and grow!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1987 1987,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 62 x 56 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Florissant, Ferguson, Berkeley, Hazelwood & Kinloch area, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1990 1990,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 45 x 87 cm. and 36 x 86 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Map of St. Charles County with O'Fallon, Wentzville, & Lake St. Louis, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps division",c1990 1990,          eng       ,map,map,"4 maps on 1 sheet : col. ; 60 x 56 cm. or smaller, sheet 89 x 58 cm., folded to 11 x 23 cm."
"          Maps of Kimberling City, Forsyth, Branson, Ozark and Hollister, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"5 maps on 1 sheet : both sides ; 49 x 64 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Lincoln & Warren counties with Troy & Warrenton, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1983 1983,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 41 x 39 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Ray & Clay counties with Richmond, Liberty & Excelsior Springs, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 37 x 56 cm. or smaller, sheet 89 x 58 cm., folded to 23 x 11 cm."
"          Maps of St. Charles County with O'Fallon, Wentzville, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Merchant Maps division",c1989 1989,          eng       ,map,map,"3 maps on 1 sheet : col. ; 56 x 55 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of St. Francois County with Farmington, Flat River, Desloge & Bonne Terre, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 50 x 47 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Table Rock & Bull Shoals Lake area with Forsyth, Kimberling, & Branson, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1986 1986,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 48 x 86 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Welcome to West Virginia, Kingwood, Terra Alta, and Preston County       ",                   cartographic                ,map,"Cincinnati, Ohio",Universal Advertising Associates Inc.,c2000 2000,          eng       ,map,map,"3 maps on 1 sheet ; 43 x 27 cm. or smaller, sheet 64 x 96 cm., folded to 11 x 25 cm."
"          Maps of Jefferson County with Charles Town, Ranson, Harpers Ferry, Bolivar, Shepherdstown, West Virginia       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing, Inc.",c1992 1992,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 42 x 37 cm. or smaller, sheet 45 x 59 cm., folded to 23 x 10 cm."
"          Map of Adair & Macon counties, Kirksville & Macon, Missouri with the Northeast Missouri State University campus guide          happy to help you find your way around!                  Map of Adair and Macon counties, Kirksville and Macon, Missouri with the Northeast Missouri State University       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,view,"5 maps on 1 sheet : both sides ; 46 x 42 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Benton and Henry counties with Warsaw and Clinton, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1990 1990,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 49 x 42 cm. or smaller, sheet 58 x 89 cm., folded to 23 x 11 cm."
"          Maps of Pettis & Saline counties with Sedalia and Marshall, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 41 x 48 cm. or smaller, sheet 58 x 89 cm., folded to 23 x 11 cm."
"          Kankakee River, IL/IN state line to Illinois River          marked fishing map : hydrographic contour map                  Kankakee River, Illinois/Indiana state line to Illinois River                  Kankakee River       ",                   cartographic                ,map,"Rhinelander, Wis.]",Fishing Hot Spots,[1993] 1993,          eng       ,map,map,"1 map : both sides, col., plastic ; on sheet 92 x 61 cm., folded to 23 x 16 cm."
"          Crab Orchard Lake          marked fishing map                  Fishing Hot Spots Crab Orchard Lake                  Crab Orchard Lake, Williamson County       ",                   cartographic                ,map,"Rhinelander, Wis.]",Fishing Hot Spots,[1991] 1991,          eng       ,map,map,"1 map : col., plastic ; on sheet 61 x 92 cm., folded to 23 x 16 cm."
"          Maps of Buffalo County with Kearney and Shelton, Nebraska          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1982 1982,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 87 cm. or smaller, sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Buffalo County with Kearney and Shelton, Nebraska          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1982 1983,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 87 cm. or smaller, sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Buffalo County with Kearney and Shelton, Nebraska          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1984 1984,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 86 cm. or smaller, sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Buffalo County with Kearney and Shelton, Nebraska          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1985 1985,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 86 cm. or smaller, sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Buffalo County with Kearney and Shelton, Nebraska          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1981 1981,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 87 cm. or smaller, sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Buffalo County with Kearney and Shelton, Nebraska with Kearney State College          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1988 1988,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 86 cm. or smaller, sheet 59 x 89 cm., folded to 10 x 23 cm."
          La Salle Lake          marked fishing map : hydrographic contour map       ,                   cartographic                ,map,"Rhinelander, Wis.]",Fishing Hot Spots,[1994] 1994,          eng       ,map,map,"1 map : col., plastic ; on sheet 61 x 92 cm., folded to 23 x 16 cm."
